****************** Hamming Weight = 3 ******************
Iteration 9: NoMOD % = 26.45%
Iteration 10: NoMOD % = 24.03%
Average NoMOD % for HW=37: 25.49%



****************** Hamming Weight = 38 ******************
Iteration 1: NoMOD % = 24.01%
Iteration 2: NoMOD % = 24.00%
Iteration 3: NoMOD % = 25.95%
Iteration 4: NoMOD % = 25.93%
Iteration 5: NoMOD % = 26.66%
Iteration 6: NoMOD % = 24.74%
Iteration 7: NoMOD % = 25.97%
Iteration 8: NoMOD % = 27.45%
Iteration 9: NoMOD % = 25.99%
Iteration 10: NoMOD % = 25.46%
Average NoMOD % for HW=38: 25.62%



****************** Hamming Weight = 39 ******************
Iteration 1: NoMOD % = 25.11%
Iteration 2: NoMOD % = 23.37%
Iteration 3: NoMOD % = 23.36%
Iteration 4: NoMOD % = 23.83%
Iteration 5: NoMOD % = 24.73%
Iteration 6: NoMOD % = 25.12%
Iteration 7: NoMOD % = 26.11%
Iteration 8: NoMOD % = 25.50%
Iteration 9: NoMOD % = 25.08%
Iteration 10: NoMOD % = 25.10%
Average NoMOD % for HW=39: 24.73%



****************** Hamming Weight = 40 ******************
Iteration 1: NoMOD % = 25.89%
Iteration 2: NoMOD % = 24.61%
Iteration 3: NoMOD % = 24.91%
Iteration 4: NoMOD % = 24.77%
Iteration 5: NoMOD % = 24.26%
Iteration 6: NoMOD % = 25.06%
Iteration 7: NoMOD % = 25.10%
Iteration 8: NoMOD % = 27.87%
Iteration 9: NoMOD % = 24.76%
Iteration 10: NoMOD % = 25.05%
Average NoMOD % for HW=40: 25.23%



